,user_id,item_id,rating,user_rating_cnt,item_rating_cnt
61,wKgcC106FcADZR+WCt01Ag==,62066,1,10,13086
81,wKgcC109XENqRAHxCBk2Ag==,39125,1,3,102
87,wKgcC106FcADZR+WCt01Ag==,63401,1,10,7096
123,wKgcC10JWQ+NTn91BbZAAg==,62942,1,20,51
125,wKgcC10JWQ+NTn91BbZAAg==,20920,1,20,2594
126,wKgcC10JWQ+NTn91BbZAAg==,28858,1,20,14
127,wKgcC10JWQ+NTn91BbZAAg==,62455,1,20,4
145,wKgcC102mgkHRHn3BaYsAg==,62066,1,3,13086
182,wKgcC10JWQ+NTn91BbZAAg==,23445,1,20,147
185,wKgcC1+9HuMCmyfBFcOZAg==,62278,-1,3,639
187,wKgcC1+9HuMCmyfBFcOZAg==,62278,1,3,639
195,wKgcC1+9HuMCmyfBFcOZAg==,63231,1,3,982
209,wKgcC10ZMXhZM1b6GfmMAg==,64494,1,3,2906
210,wKgcC10ZkGd9PCqwBA2RAg==,5202,-1,4,99
223,wKgcC106FcADZR+WCt01Ag==,60735,1,10,11177
230,wKgcC10EdCt3Ih89BCZZAg==,58531,1,3,1185
262,wKgcC10U1NCRwV2ZEkdrAg==,59989,1,3,330
268,wKgcC10EdCt3Ih89BCZZAg==,62585,1,3,2653
271,wKgcC102mgkHRHn3BaYsAg==,63401,1,3,7096
279,wKgcC102sKm6jnn1BdIoAg==,32651,-1,3,648
281,wKgcC102sKm6jnn1BdIoAg==,40425,-1,3,1281
285,wKgcC10XSiFdjH6lDWRHAg==,64898,1,3,9036
321,wKgcC113YCFZRBGKB6Z6Ag==,63259,1,3,111
327,wKgcC10h8CAevWIQDjnrAg==,65285,1,6,812
331,wKgcC10QSsCSyQ9VAyq0Ag==,64165,1,3,1781
343,wKgcC1062uuUs2nNDBwLAg==,63256,-1,3,8277
355,wKgcC10kcpAYCQamCeO5Ag==,61740,-1,3,171
359,wKgcC1062uuUs2nNDBwLAg==,63256,1,3,8277
